Reviews
it's not for induction.
nice.....prduct
with in 1 weak washers are gone.
good
Nice product
super cooker you can buy it
ok
good
Nice cooker combo set.
Good
nice
Induction bottom automatically removed .Not possible to use induction
nice  products
good product
Good product
Very good product
very good product.
only 2 caps for 3 coker thats not fair
value for money
Quality was very bad
good products
good
very good in low price
very helpful buyer and good customer service and last but not least superb product
Good pruduct nice
Products good
Good
value pack better than expected
Good product
very nice product
good
good product
good quality and value for money
Good Product buy slow delivery
worst product
good product tanq Flipkart
super items
Awesome products ..... I'll useing it for last oneyear.....
worth money...
nice cooker  3rd so cute...
It's a good product though
good product  .
nice product
average quality products.
value for money .....but worried about service center
problem in locking and unlocking
no isi mark
good product
Product is not good not bad  ok ok
Nice product
Good product and good quality
The induction cooker good but not best
nice product ☺️
Product is Good But ISI Mark is not available in bottom but other wise Product is Good
good product
very good
satisfied...
good product
very poor quality Don't buy please don't waste your money
It's good regarding quality ...I like it and satisfy..
Satisfactory. 👍😊
very nice
Induction cooker was nt thr....
it's awosm
ty flipkart for this dealgood set
nice
Product is good at this price
supr
Good
Best
not bad
v good
Good product
Good
Very nice
nice
Nice product
i m using this product since 2yrs excellent product
worst product till date I purchased ..please please don't buy this .
nice
Good
Value for money
Nice product
superb
very lasy
Very good
very nice...
nice product .
good...
nice
Pigeon Cooker 👍 Very Very Good Product
Good
good
Good product
Nice Product don't think any negative things.Value for the money
I received damaged goods
It is good
good product
good
nice combo thanks to filpkart
worst product ever
nice product
Super combo 👌👌👌
very very good product.
value for money
it's not a indection normal
very price oriented...product.
best
good
medium quality worth for Money
nice
bad prodect
the finishing was not good at all...it has sharp edges which easily can cut wounds...5 ltr Cooker's handle didn't fit well it needs lot of effort to set the handle and it's even not get well
good quality
excellent
Not much quality
nyc
good
not bad
good
nice product
Nice product worth  buying
This is one of the finest Pressure Cooker experience that I was ever In.
flipkart you cheater....u sold me the same product for 1940/- you are selling the same for 1436/- on other days...this is a huge profit marginyou are earning.Give me my money back ...this is not expected from you...change your policy..I won't buy product from you again...
ok
good product
it's weight less
2lt pan is not working
Good product
So good product
Nice 😎👍 product
Nice
capacity claim is wrong.2 ltr. is 1.5 ltr.3 ltr. is 2.5 ltr.5 ltr. is 4.5 ltr.
not so heavy
awasome product
good product
good quality
Its a good product to this rate
awesome
nice product and excellent delivery on time..
The product was awesome unexpected in that item I'm very happy and family also happy thank to Flipkart
Average
No ISI mark only 2 lid  average item
nice product
nice product
best product!
no words very very nice👌👌👌
awesome product
good
Good👍 product. same as shown in picture.
quality was bad and this product was not original I think don't buy
Superb
average
good quality
ok
nyc
good
good
good
good product
good product
good
nice product
Nice
I got defect product.handel was already booked
Good Product But 2L Cooker Is Not Upto The Mark.
I is too good & I'm satisfied with this product.
Super
Nice Product..
very nice
very good
Very poor quality returned soon.
good
Fantastic product
good product ok
just ok
Ok
Very Good Product Within A low price range material is too Good
nice product
low level material
good product
plz don't but this product coz after few usages the color of this product is changed cheep quality
good
ok
super
very good... I am so happy
Very Bad exp Lid was stuck in cooker or Not fitting properly
poor quality rubber used..loose after few use
Although product is good but there are some problems with the cover.
nice product.
Very good product
i was ordered induction cook ware very nice and reasonable price its not an induction friendly
good
good
Awesome
Very good product beautiful
my mother is happy
not bad
Good quality
Good product
Good product
Good product.  Quality is also good.
